 ,restaurant,menu,total_star,review,food,delvice,
2648,소용반점-본점,싱글세트（탕수육＋짜장1or짬뽕1）/1(메뉴선택(짜장)),3,저번에 주문했을때 맛있게 먹은 기억이 있어 재주문했는데 탕수육은 고기는 거의 찾아볼 수 없는 찹살튀김 같았고 자장면도 면이 엄청 불어서 실망했어요 ㅠ,1,1,
2649,할리스-당산역점,"썸머 스윗 디저트 세트/1([set] 카페 아메리카노 선택(아메리카노 - Regular／ICE),[set] 바닐라 딜라이트 선택(바닐라딜라이트 - Regular／ICE),썸머 스윗디저트 케익(트리플 초코라운드 케익)),팔미까레/1",3,"밥먹고 디저트로 주문했는데 다시 밥먹어야 겠네요.,배송꽝!!",3,1,
2650,종로족빨,보쌈/1(사이즈 선택(大)),2,김치가 맵고 양도 적네요,1,3,
2651,청운24시,절약세트0（탕수육＋짜장 or 짬뽕 中 택1）/1(메뉴 선택(짬뽕)),1,짬뽕은 양파가 다 흐물거려서 녹아서 오는걸보면 그냥 퍼서오는듯 탕수육은 튀김의 모양이 너무 오래된 느낌이라고 해야되나 뭐 새벽에 시켜먹어서 그런가 실망이 컸음 대충 면만 주워먹음,1,3,
2652,대연각-한양대점,"삼선짬뽕/1,깐풍기/1",2,요리 시킨게 아깝네요 반도 못먹고..면은 불어서 오고..추천각은 못 되네요,1,1,
2653,멕시카나-봉천점,모두의마요치킨/1,5,맜있게 잘 먹었습니다,5,3,
2654,KFC-방배역점,Best 버거팩/1,1,약속시간어기는 방배역점 쿠폰쓰면 눅눅한거주는방배역점쿠폰써서그런가ㅋㅋ,3,1,
2655,짜장면짬뽕맛있는집,"쟁반짜장/1,세트（탕수육＋짜＋짬）/1",4,탕수육 짬뽕 맛있는데 짜장이 넘 느끼했어요.,3,3,
2656,파파존스피자-문래점,"수퍼 파파스 오리지널 크러스트 L/1(추가 선택(코카-콜라 1.25L)),치즈 스틱/1",3,배달 엄청 늦어요배달 늦어,3,1,
2657,KFC-충무로역,"오리지널치킨 8조각/1,코울슬로/1",4,주문하고 바로 변경하려고 했더니 앱에 전화연결이 콜센터로 되어있습니다. 그럼 주문한 지점으로 전화하라고 합니다. 그러다 변경도 늦어서 안되고 치킨도 식어서 왔네요,3,1,
2658,모리향,짜장면/2,1,죄송합니다 엘베없는 7층이라 이제 배달 안해준다고 주문 하지말라고하네요ㅡㅡ 돈없어 고층사는게 죄네요,3,1,
2659,쁘이치킨,후라이드 반＋양념 반/1(뼈or순살 선택(뼈)),5,리뷰적으려다 재주문 심각하게 고민중입니다. 앞으로도 이맛 그대로 가주시길,5,3,
2660,어사출또-사당역점,"광어/1(사이즈 선택(大)),반반튀김/1",2,광어회를 엄청 좋아해서 둘이먹어도 항상 대자 시켜서 먹습니다. 어디서 먹어도 대자시키면 둘이 배터지게 먹는데 여기꺼는 많이 모자르네요.. 엔가와도 너무 조금이고.. 얇게 썰어달라 부탁드린것도 안보신 것 같고.. 회시키는데 막장 안주는 곳도 처음봐서 당황했습니다 ㅠㅠ 오징어튀김은 눅눅해서 물컹물컹해요.. 제가 안좋은 리뷰는 잘 안쓰는데.. 사장님껜 죄송하지만 개선되면 좋겠습니다..,1,3,
2661,하우마라탕-강남점,"셀프 마라샹궈/1(맛 매운단계 선택(아주매운맛（신라면2배）),마단계 선택(3단계 완전 얼얼함),고기 추가 선택(양고기 300g 추가),면 추가 선택(분모자 추가),야채 추가 선택(청경채 추가,푸주 추가,고수 추가,（추천）궁채 추가,도가니 추가),기타 추가 선택(깐새우 1개 추가,비엔나 6개 추가))",3,맛은 있는데 너무 짜요 ㅜ 너무짜서 많이 못먹음 재료양과 양념비율이 너무 안맞아요,1,3,
2662,뚜레쥬르-신당역점,"빵긋랜덤박스/1,그랑드카페 아이스아메리카노/1(사이즈선택(라지사이즈)),아이스카페라떼/1(사이즈선택(라지사이즈))",5,잘먹었습니다 추천합니다^^,5,3,
2663,롯데리아-성수역점,"데리버거/2,치킨버거세트/1(디저트 변경(세트 포테이토),드링크 변경(세트 콜라（R）))",5,"요즘 계속 양상추대신 양배추, 케이준감자? 와서 놀랬어요. 배달 시 메모지 같은데다 대체된걸 적어주시면 더욱 좋을거 같단 생각들어요. 케이준감자보고 이게뭐지하고 먹어야되나말아야되나 한참고민했네용 ㅠ",3,1,
2664,케밥인,16. 양갈비/1,4,배고파서 그런가 맛잇엇음  간이 쌘 양꼬치맛이라 생각하시면 될듯,5,3,
2665,죠스떡볶이-방배역점,（요기요）패밀리세트/1,4,순대 간이 색깔이 너무 까맣게 되있었는데 안쪽은 괜찮고.. 근데 냄새는 안나서 먹었어요.. 다른건 다 맛있게 잘 먹었습니다!!,5,3,
2666,롤앤스파게티-화곡점,"김치볶음밥/1,떡국/1",3,배달은 사십분  가격착하고  새벽에 먹을수 있다는게 장점 맛은 그냥그래요,3,3,
2667,리츠델리피자,1인용 콤비네이션피자/1,5,항상 먹는데 맛있어여 ㅎㅎ,5,3,
2668,개부장떡볶이,"개부장 고추장 밀떡볶이 ＋야끼만두2＋김말이2/1(맛 선택(보통맛),추가 선택(선택2） 김말이2))",1,이런 떡볶이집은 처음임..배달도 개오래걸리는데 도착해서 한입 먹어보니깐 떡은 다 불어서 그냥 먹으려다가 못먹겠어서 다 버림.. 솔직히 소스는 내스타일 이었는데 떡볶이에 가장 중요한 떡이 다 불어서 오니깐 진짜 열받았음.. 이런 리뷰 진짜 안남기는 편인데 진짜 빡쳐서 남김..,1,1,
2669,동대문신야채곱창,야채곱창/1(사이즈 선택(2人)),3,맛은 일단 맛있는데 너무 매운거같아요ㅠ 매운거못드시는분들은 못드실거같은데 맛있긴합니다. 하지만 양이 솔직히 많은편은 아닌거 같습니다 2분양이겠지만 1.5인분인 느낌? 인거같아요. 그리구 구성이 조금 더 있었으면좋겠습니다ㅠ 상추 소스 마늘 이게 끝이라.. 뭔가 부족하게 온 느낌이 들어요ㅠ,1,3,
2670,후라이드참잘하는집-왕십리행당점,세트4（후라이드＋양념치킨＋콜라1.25L）/1,5,치킨이 생각나면 늘 주문합니다 맛있어요,5,3,
2671,김영태스시&사시미마을-송파점,1人 추천사시미/1(메뉴 선택(15p（8g）)),3,전보다 회가 전반적으로 좀 덜 싱싱했어요,1,3,
2672,대연각-한양대점,"짜장/1,짬뽕밥/1",5,음식 맛나게 잘 먹었어요~~,5,3,
2673,쭈꾸미꼬막찜어촌마을,"청국장 /1,고추장매꼼제육볶음 /1(맛 선택(순한맛))",2,저는 안좋은리뷰를남긴적은 한번도없는데..ㅜㅜ 아진짜 제육먹고나서 지금 장염수준으로 삼일째 설사를 해댑니다..무슨소스를쓰신건지ㅜㅜ 제가 신전떡볶이를먹어도 이렇게삼일동안 설사만하진않아요 아ㅜㅜ정말 힘드네요 근데같이먹은친구도 똑같다네요 왜그런거죠??,1,3,
2674,피자런-강서양천점,"잭슨 파이브（five pizza）/1(사이즈 선택(L사이즈（2~3인）),추가 선택(코카콜라 1.25L 추가))",2,처음에 피자 꽂이에 새우 조심 스티커 보고 세심하다고 생각했는데 긴 머리카락이 옆에 떡하니 있어서 1차 어이없음 피자집에서 머리카락 나오는건 첨보네요  그래도 뭐..바로 위에가 아니니 그럴수 있지! 하고 조각을 들었는데 머리카락이 바닥에 똭..  퇴근하고 지친 하루에 피자로 풀려고 했는데 그냥 버렷슴다 피자 어딘가에 무슨털이 어떻게 있을지 몰라서요 그렇게 까지 배고프진 않아요,0,0,
2675,군산오징어-본점,"오징어불고기/1(사이즈 선택(2人),조리 선택(조리 전 배달),맛 선택(1단계 약간매운맛)),오징어튀김/1",3,배달비가 너무 비싸네요.,3,1,
2676,어참치-봉천점,어참치기본/1(어참치 기본 선택옵션(650~700g 4~5가지 부위)),4,새벽에 시켜서인지 많이 얼어있네요 그랟도 양많고 잘먹었습니다,3,3,
2677,롯데리아-신림역점,"새우버거/1,한우불고기세트/1(디저트 변경(선택 치즈스틱),드링크 변경(세트 콜라（R）),햄버거 토핑 추가(토마토 토핑))",1,양배추를 반쪽에만 뭉탕이째 넣어놧네 9월23일 아침 5시부터 6시사이 근무자 재교육좀 시키세요 두개다 그딴식으로 넣어놧네,3,1,
2678,엔제리너스-강남역점,"망고스노우/1(사이즈선택(R（16oz）),음료 선택(ICE)),뉴욕치즈케익/1,메이플피칸/1",5,매번 맛있게 먹어요 ㅎㅎ,5,3,
2679,남경-중구점,"새우볶음밥/1,짜장면/1,짬뽕/1,탕수육/1(사이즈 선택(小))",1,가까운 곳이라고 주문했는데 배달이 그닥 빠른지 모르겠어요. 음식은 너어무 기름져서 짬뽕국물 없이는 먹기 힘드네요. 짬뽕국물이 그나마 맛있었지만 오징어가 커도 너무 커서 씹기 힘들었어요.,1,1,
2680,김밥천국-건대점,"묵은지 김밥（NEW）/1,묵은지 참치김밥（NEW）/1,치즈김밥/1,계란말이김밥/1",3,빠른 배달과 맛은 있었지만..단무지를 먹지 않아서  김밥 4줄 단무지를 빼달라고 요청을 했는데..단무지가 4줄 다 들어있어서..,5,3,
2681,홍보석-을지로점,"간짜장/1,새우볶음밥/1",3,배달기사이신지 사장이신지는 모르겠는데 굉장히 불친절했습니다. 제가밖에있는도중에 주문을 했고 배달도착시간내에 집에 도착하지못할거같아 분명히 집앞에 놓고가달라고 메세지를 남겼음에도 확인해보시지도않고 배달와서 집에 사람이없다고 전화를 주셨는데 전화안받았다고 다짜고짜 화내시고 짜증내시는모습 너무 역겹고 불쾌했습니다. 자주시켜먹던곳인데 실망이 크네요.,3,1,
2682,백종원의리춘시장'중화요리주점'-신림역점,"[ 인기최고 ] 바지락SET/1,짬뽕탕/1,[ 마파단짝 ] 계란볶음밥/1",5,맛있어요 아이들과잘먹었어요,5,3,
2683,호야생과일쥬스&눈꽃빙수,"팥,인절미 눈꽃빙수/1",4,이번엔 빼달라는 건 다 빼주셨는데 추가 요청한 콩고물은 또 안주셨네요..,3,1,
2684,차이훙-문래본점,"삼선간짜장/1,삼선짬뽕/1,탕수육 소/1",3,잘 먹었습니다!!,5,3,
2685,백종원의롤링파스타-건대지점,[매콤해요] 스테이크 크림 파스타（면170g）/1(추가 음료 선택(피치라임아이스티)),4,배달이 예상시간보다 늦게 도착해서 조금 면이 불어서 아쉬웠어요.. 그치만 배달 특성상 소스가 줄어들수밖에 없으니.. 맛은 있었습니다^^,3,1,
2686,능이네삼계탕,"다슬기해장국/1,해물된장찌개/1",2,국이랑 반찬이 정말 맛있고 오랜만에 집밥 먹는 느낌이 나서 행복했는데 깍두기에서 밥알이 나왔네요.. 혹시 제가 먹다가 튀긴건가 싶어서 긴가민가 했는데 먹기 전에 손도 안 대고 찍은 리뷰용 사진에도 있는 걸 보니..ㅜㅜ 그리고 배달도 예상시간 넘어서 도착했어요,0,0,
2687,KFC-봉천역점,"징거더블다운박스/1(치킨변경(고추콰삭블랙라벨교환),사이드변경(케이준후라이（L）),음료변경(콜라))",4,!! 좋았어요!,5,3,
2688,김승현스시,"특선초밥 12ps/1,싱싱 회덮밥/1",5,맛있어욥.. ㅎㅎ 맛있게 잘먹었어요,5,3,
2689,응급실국물떡볶이-신당역점,"응급실떡볶이＋쿨피스/1(맛 선택(중상맛),토핑 추가 선택(치즈 추가))",5,치즈도 너무 부드럽고 떡볶이도 맛있었어요!!,5,3,
2690,카페두목,"군고구마 500g/1,두목 생크림 와플/1",3,이게어딜봐서 생크림와플이죠..? 제가생각한일반 생크림이아니라 이상한 설탕맛나는 크림?같지도않은 크림인데 달기만엄청달고 진짜별로에요 ㅜㅜ 고구마는 왕큰데 딱 두개들어있어요,1,3,
2691,차이훙-문래본점,"삼선간짜장/1,잡채밥/1",1,이집 짜장을 좋아해서 자주 주문하는데.. 배달할때마다 힘드네요     면 반만 주세요!! 밥 주지 마세요.  이개 그리 어려운 옵션인거지     짜장면 한번 먹기 힘드네요,3,1,
2692,인생족발-삼성점,"족발만（족발＋새우젓＋고추＋마늘＋쌈장＋쌈채소）/1(사이즈 선택(족발만 앞발),추가 선택(인생쟁반국수 小 추가,사이다 1.25L 추가))",2,배달은 한시간 반 이상이 걸려서 오고 막국수는 완전 떡되서 오고 맛은 않먹어도 알듯 .,3,1,
2693,원조유천칡냉면,"칡물냉면/1,물만두/1",1,"살면서 먹어 본 냉면과 물만두 중 최악의 맛, 콜라는 시원함은 없고 뚜껑을 열자마자 분수쇼 ㅎㅎ",1,3,
2694,사천마라샹궈-관악점,"마라샹궈기본/1(맛 선택(매운맛 1단계),맛 선택(얼얼한맛 1단계),추가 선택(새송이 추가,푸주 추가,옥수수면 추가,건두부 추가),고기 추가 선택(양고기 2인분))",4,기본이 정말 기본이였네요 처음 주문해봐서 야채를 추가 안했더니 정말 건강하지 못한 마라샹궈가 왔어요 근ㄷ 옥수수면이 소스를 다 흡수를 한건지 식어서 그런건지ㅜㅜ떡이됬어요ㅠㅠ면은 시키지 말걸..맵기는 한단계 더 위로 해서 먹으먄 더 맛있었을것같아요 양은 많은데 옥수수면만 빼면 괜찮을것같아요~담에 시킬땐 꼭 빼고 시킬께염ㅠ,1,3,
2695,EGGDROP-잠실점,햄&치즈 프렌치 토스트/4(추가 선택(토핑 추가안함)),5,"대체로 만족, 양이적은줄 몰랐네 성인남자는 두개먹어",3,3,
2696,혼밥人生-방이점,"（인생）강추! 삼겹김치 짜박이 1人/1(맵기 맛 선택(보통맛),추가 선택(바사삭 야끼만두 추가))",3,배달 잘받아서 리뷰쓴다하고 물만두 잘먹었는데 비린맛이 느껴져서 다 먹진않았지만 배도 살짝아픈듯,1,3,
2697,네네치킨-영등포푸르지오점,"순살오리엔탈파닭/1(음료 업그레이드(사이다1.25L 업그레이드),소스 추가(양념소스))",5,개존맛탱 역시 파닭은 네네 저거 치즈스틱같은 거 진심 짱맛,5,3,
2698,옥문-본점,"짜장면/1,삼선짬뽕/1",3,짜장과 짬뽕이 너무 불어서 왔어요 ㅜㅜ,3,1,
2699,공리-서초점,공리볶음밥/6,1,배달예상시간보다 무려 40여분 늦어서 왜이리 늦었냐고 하니까   그럼 그냥 가져가요?하는 어이없는 자칭 직원이라고 하는분.짜증났슴.,3,1,
2700,KFC-청계천점,"오리지널치킨 3조각/1,오리지널타워버거/1,에그타르트/2,올쉐킷치즈/1",1,이미 두번째이렇게 배송했어요.이런것 어떻게 먹 을 수 있냐,3,3,
2701,고봉민김밥-양천구청점,"와사비어묵김밥/1,돈까스김밥/2,라볶이/1",3,돈가스김밥은 맛있었지만 라볶이랑 와사비김밥은 별로였어요,3,3,
2702,청년피자-광진구점,"（인기）진짜감자피자 R （1~2인）/1(피자 도우 변경(리치골드),소스 추가(（추천）청년갈릭딥핑소스))",1,배달도 느리고 배송도 잘못오고 맛도 별로에요,1,1,
2703,떡순튀-구의점,"떡볶이/1,순대/1,오징어튀김（5개）/1,참치꼬마주먹밥（8개）/1",2,떡볶이를 시켰는데 1인분치곤 너무양이 적더라구요..떡볶이를 시킨게아니라 서비스로 온줄아랏네요,1,3,
2704,투인두마리맛치킨-왕십리점,"두가지맛 파닭치킨/1(맛 선택(양념,핫살사))",2,리뷰에 다들 딱딱하다 했는거 보고 에이 딱딱해봤자겠어 했는데 진짜 딱딱해요.. 튀김옷도 그렇고 닭자체가 너무..딱딱해요..ㅠㅠ 갈라져요.. 소스는 맛 두개가 큰 차이가 없어요 소스는 맛있는데.. 파많이달라고 요청사항에 적었는데 진짜 많이주셨어요,1,5,
2705,우나기맨숀히츠마부시장어덮밥,（신메뉴）데리야끼 민물장어 구이 도시락（민물장어 1미 도시락）/1,1,민물장어 맞나요? 가성비 가심비 모두 아님 등록된 메뉴사진에 속지 마시고 주는 내용 꼼꼼히 체크하고 주문하세요 도시락 반찬이 락교 세알 쪽파 외사비 미소 된장국이라도 좀 주지,1,3,
2706,건륭,싱글set（탕수육＋짜장1or짬뽕1）/1(싱글 메뉴 선택(짬뽕1)),1,면은 다 불었고 탕수육은 바로 튀긴 맛이 아니고 눅눅하네요 또 시킬 것 같지는 않네요,1,1,
2707,순희냉면&중국볶음요리전문점,"소배필수육/1,마파두부/1,소천엽무침（고수O.X）/1(고수 선택(고수 O))",5,언제나 맛 좋습니다.,5,3,
2708,동보성-신정점,탕수육 /1(사이즈 선택(大)),1,"가개 설명에 재료 안아낀다고 했는데..  대자를 시켰는데 소자처럼 양이적었고,  쿠폰도 안주네요..  다른 중국집이나 치킨집은 어플로시켜도 쿠폰도 주고 양도 많던데.. 시켜먹기전에 고려해보시길..",1,3,
2709,오태식해바라기치킨-강남센텀점,해바라기 아줌마 반반 치킨/1(뼈 or 순살(（변경없음）뼈)),2,닭다리가 왜이래요   크기가 갑자기 줄어듬 후라이드는 매콤했는데 간도 제대로 안돼있고 갈수록 퀄이 떨어지네요 초반만못한듯,1,3,
2710,홍콩반점0410-사당역점,"짜장면/1(곱빼기 추가(곱빼기 추가)),짬뽕（면 별도포장）/1(추가메뉴 선택(짬뽕국물 추가))",4,배달 엄청 빠르시고 짜장면이랑 짬뽕도 맛있음  강추,5,5,
2711,보드람치킨-봉천역점,후라이드치킨/1(음료 사이즈 변경(음료 변경 없음（캔콜라）)),1,"한시간반이나 걸렸는데..맛이 좀그렇네요,.뻑뻑했음..서울대역점에서 시켜먹었을때 넘 맛있어서 다 똑같겠지하고 시켰다 완전실망..봉천점에선 다시 안시켜먹을듯..",1,3,
2712,싸움의고수-홍대점,1인 보쌈M/1,1,도대체 한 분의 기사님이 몇 군데의 배달을 하는건지  지연이 20분 넘게 되는동안 기사님 위치가 온 동네를 다 도시네요 차라리 익스프레스 등록을 해놓지 마세요 그러면 주문을 안하던지 기다리지를 않을탠데 배달팁은 팁대로 있고 지연에 대한 사과는 요기요에서만 하고 도대체 누구를 위한 서비스인지 벌써 몇 달째 시켜먹는 단골집인데 이런식으로 서비스하는 곳 싸움의 고수 본사에서도 알고 있으신가 모르겠네요,1,3,
2713,불불이족발-신림점,"직화구이 원조 불불이 족발/1(사이즈 선택(小),맛 선택(바베큐족발（매운맛 중）))",5,항상 맛있네요.잘 먹었습니다,5,3,
2714,파스타스타-강남본점,"1인 스타세트/1(파스타or리조또 택1(베이컨버섯크림리조또),사이드 선택(버팔로봉 3pcs),샐러드 선택(치킨텐더샐러드),음료 선택(웰치스 355mL)),（추천1위）스테이크 파스타/1(메뉴 선택(로제소스)),새우 파스타/1(메뉴 선택(매콤새우 파스타))",5,싸고 좋아요!! 맛있습니다ㅎㅎ,5,3,
2715,지코바치킨-서울신당점,"순살양념（보통맛）/1,공기밥 추가/1",5,배달은 아쉽지만 맛은 최고입니다!!,5,1,
2716,왕비성-선유도점,깐쇼짜장/1(곱빼기 추가 선택(곱빼기 추가)),5,맛있 게잘먹었습니다,5,3,
2717,옥이네김치찌개와직화삼겹-신촌점,"숙성 김치찌개/1(사이즈 선택(2人 （밥2개＋콜라）),메뉴 선택(돼지김치찌개),서비스 선택(계란찜))",4,밥이 질었다는거 빼고 좋았아요! 김찌 맛집입니다,5,3,
2718,동어동락-삼성본점,"모듬회/1(사이즈 선택(소)),매운탕/1",2,매운탕에 연어 넣어주시는곳은 처음봤어요.. 제 스타일은 아니네요. 자주 시켰었는데 음.. 오늘따라 연어빼고 모든 회들이 다 푸석푸석해서 반도 못먹었어요.  그리고 문앞노크라고 써놨는데 문앞에 두고 그냥 가셨나봐요.  방음안되는 사무실이라 노크를 못들을순 없어요. 계단 올라오는 소리도 가끔 듣고 문앞에서 기다렸다가 음식 받아가니까..  배달시간이 지나도 안와서 혹시나해서 열어보니 있더라구요..,1,1,
2719,탕수육본능by놀부-잠실점,한돈 김치치즈탕수육/1(사이즈 선택(중)),1,놀부의 브랜드라 시켰는데 실패했네요 1. 치즈추가 김치추가 등이 있으면 좋겠어요 2. 탕수육 자체가 바삭하게 튀겨지지 않았네요 아무리 소스가 묻어있다해도 느껴집니다. 3. 고기 잡내를 잡지 못하셨고..비계부분만 튀겨진 부분도 있는 것 같았어요 4. 소스는 깔끔하고 무난한거 같은데 양파가 들어있고 김치가 너무 적네요 김치양을 줄이시려고 양파를 넣었다고 생각이 들 정도입니다  5. 근처 타 음식점에 비해 양은 적은 편입니다.,1,3,
2720,공씨네족발보쌈,"보쌈 /1(사이즈 선택(小),추가 선택(막국수))",5,맛있게 잘 먹었습니다 앙도 많고 맛도 좋아요,5,3,
2721,고피자-강남점,"슈퍼 콤비네이션 피자/1(피자 토핑 추가(고구마 무스),사이드 추가(버팔로 윙_2개),음료 추가(스프라이트)),핫소스/3",3,사장님~ 잘먹었습니다~ 토핑도 많이 올려주시고 고구마도 많이 주셔서 너무 감사했습니다~  개인적인취향으로는 더 많이 구워주셨으면하는 것이 있습니다~ 다음번엔 바짝 구워서 부탁드립니다~,5,3,
2722,던킨-CF강남스퀘어점,"바바리안필드/1,올리브츄이스티/1,카푸치노츄이스티/1,보스톤크림/2,비프칠리핫도그/1(콤보 음료(（콤보）아메리카노))",1,리뷰이벤트 참여 썼는데 컵도 오지않고 리뷰이벤트가 끝난 건가? 기분에 따라 주는 건가? 배달도 늦고 안전배달 문자주세요로 했는데 문자없이 두고 가서 왔는지도 몰랐습니다 말라비틀어진 핫도그와 다 식은 커피   기분좋게 리뷰쓰고 싶었는데 유감입니다,3,1,
2723,별이빛나는초밥집,"빛나는초밥 （14pc）/1,장어/2,켈리포니아롤/1",3,초밥이 비린게 많았고 켈리포니아 롤 너무 커요 먹기 힘듬ㅡㅡ,1,3,
2724,코바코-신림점,스폐셜세트2인（등심1＋안심1＋생선1＋생선초밥10＋반우동2）/1,1,아..배송은 빨라서 좋았는데요 돈가스는 깍두기국물이랑 다 섞이고 초밥은 밥이랑 다 분리되고 너무 심한데요,3,3,
2725,7딸라김치찌개-강남직영점,"7$（달러）우삼겹김치찌개 1人/1(추가 선택(공기밥 추가,스팸 추가,라면사리 추가))",3,배달 빨라요.  삶은 라면은 따로 와서 넣어서 잘 먹었어요. 맛은 그럭저럭 잘 먹었어요,3,5,
2726,승리원-성수점,"쟁반짜장/1,짬뽕밥/1",3,짬뽕국물이 맛있는데 해물은 그닥 많지 않아서 아쉬웠어요 배달이 빨라서 좋았습니다,5,3,
2727,또래오래-봉천2호점,,3,닭이 너무 마른 상태로 왔어요 예전에 시켰을때랑 너무 다른 비주얼과 맛 포테이토치즈볼은 절대 시키지 마세요 맛 없음,1,3,
2728,시루향기-목동점,"시루향기 대표 콩나물국밥/1(맛 선택(순한맛)),한방미니족발/1(사이즈 선택(小))",5,처음 주문이라 걱정을 좀 했는데 너무 맛있게 잘 먹었습니다. 앞으로도 자주 시켜 먹을게요^^,5,3,
2729,까르보네-신당1호점,"크림새우도리아/1,치아바타빵/1,콜라/1",2,맛없습니다 ㅜㅜ.,1,3,
2730,KFC-홍익대점,"오리지널치킨 3조각/1,징거박스/1(사이드변경(케이준후라이),음료변경(콜라)),캡새버거세트/1(사이드변경(에그타르트교환),음료변경(콜라)),롱치즈스틱/1,에그타르트/1,비스켓/1",2,콜라는 김빠져서 맛이없네요 아들이 여기 닭을 좋아해서 시키기는 하는데 콜라는  좀 바꿔요,1,3,
2731,24시홍대1L커피101마카롱아이스크림,생딸기가득생크림케잌/1,5,맛있게 먹었습니다~,5,3,
2732,암사동벼락국물떡볶이-강남직영점,"벼락 불오징어 2인분/1(매운맛 선택(매운맛),떡볶이 종류 선택(떡많이),떡볶이 토핑 선택(쫄면사리)),전국1등 찰순대（내장선택）/1(순대 선택(내장포함)),매운맛김말이/1",3,후기보고 맛있다길래 주문했는데 맵기는 많이 매운데 양념이 맛은그닥이었네요.,3,3,
2733,치킨매니아-낙성대점,"치즈볼（5개）	/1,닭껍데기튀김/3",4,좀더 바싹튀겼으면 좋았을거같아서 약간 아쉬웟지만 양이나 맛은 좋았따,3,3,
2734,파파존스피자-구의광장점,존스 페이버릿 오리지널 크러스트 L/1,1,유통기한 최악! 오늘이 30일인데 콘샐러드랑 코울슬로 유통기한이 오늘까지인걸 보내주셨네요 전화해서 얘기하니 원래 유통기한 길게 들어오지않는다고 하시면서 한다는 말이           그럼 저희가 어떻게 해드릴까요?           이러시네요^^ 상당히띠껍죠? 간만에 명절이라고 온가족 다같이 먹는거인데 아무리 유통기한이 짧게 들어온다 하더라도 보내주시는거 유통기한 널럴한걸로 보내주세요 이딴거 보내주시면 받는 사람들 찝찝해서 먹겠어요? 그저 남은 재고떨이라고밖엔 생각 안돼요 게다가 전화주신 분 겁나 띠꺼움^^ 다시는 안시켜먹을거니 잘먹고 잘사시길^^,1,1,
2735,청년다방-홍대점,"1인 차돌떡볶이/1,밀크모짜치즈볼（4개）/1,버터갈릭감자튀김/1",3,프랜차이즈라 먹던 맛이었지만 감자 시즈닝이 녹아서 뭉쳐 있었고 떡볶이 속 차돌이 질겨서 못 씹었습니다. 치즈볼은 바삭하니 넘 맛있었어요.,3,3,
2736,마라고메,마라샹궈/1(매운 맛 선택(보통맛（신라면 정도의 맵기）)),3,24000원에 팽이버섯과 야채만 잔뜩이면 안시켜 먹을것 같아요..,1,3,
2737,이화수육개장-정동점,부대육개장/1,2,먹어보면 알겠지만 권하지 않는다,1,3,
2738,KFC-당산역점,"징거버거세트/2(사이드변경(케이준후라이),음료변경(콜라))",5,오랜만에 징거버거 먹었네요ㅎ 포장도 꼼꼼하게 왔어요 징거버거 역시나 맛있네요ㅎ 배달은 예정시간보다빨리와서 좋았어요 감튀도 양념되어있어 짭조름하니 다 먹어버렸네요,5,5,
2739,자담치킨-성수점,"스리라차순살치킨/1(사이드 메뉴 추가(슈가치즈볼（6개）,크런치감자스틱,모짜감짜（오리지날）),음료 메뉴 변경(콜라))",1,주문을 했는데 재고가 없으면 미리 전화주셔야 하는거 아닌가요? 주문한지 30분지나서야 전화도 아닌 문자로 보내는건 뭔가요?? 여태까지 기다리다 지쳐 짜증만 나네요~,3,1,
2740,빅스타피자-서울구로점,콰트로 피자（XXXL46cm）/1,4,비가와서 그런가 배달이좀 늦네요 .잘먹었습니다,3,1,
2741,벌떡떡볶이-이수점,"왕벌 떡볶이세트（고뎅＋주먹밥＋쥬시쿨180mL2개）/1(맛 선택(아이맛（5%）),추가 선택(치즈 폭탄))",5,맛있게 잘 먹었습니다  배달도 빠르네요,5,5,
2742,길동우동-봉천역점,"어묵우동/2,사이다 355mL 캔/1",4,아주좋앗습니다우동ㅇㅎ뎅,5,3,
2743,굽네치킨&피자-사당1동점,고추바사삭＋볼케이노피자/1,4,잘먹었어요..,5,3,
2744,오로지백반,돼지불고기 듬뿍 반찬8  밥2 국2 2인분/1,4,맛있게 잘먹었습니다,5,3,
2745,베네토,불고기로제 리조또/1,5,시킬때마다 맛있게 잘 먹어요,5,3,
2746,성심식당,"해물순두부/2,콩비지/1,바지락손수제비/1,김치볶음밥 1인분/2,제육덮밥/2",4,배달이엄청빠르네요!! 양도 굉장히많아요,5,5,
2747,교촌치킨-신트리점,"교촌시그니처세트/1(사이드 메뉴(교촌웨지감자（세트）,쫀드칸꽈배기（시나몬슈가）))",4,치킨은 항상 진리예요,5,3,
2748,롤앤스파게티-화곡점,"치즈스파게티/1,김치볶음밥/1",1,진짜 김치볶음밥은 내가 세상에서 먹은것중에 가장 맛없었고 다시는 못먹을맛이라 한수저 먹고 바로버렸습니다. 음식을 줘야죠 쓰렉을주면..,1,3,
2749,김태완스시-방배본점,"특선초밥 12ps/1,싱싱회덮밥/1",4,흑흑.. 간장이.. 안왔어요.. 흑흑.. 그래도 맛있게 잘 먹었습니다.. 다음에는 꼭 잊지않고 챙겨주세요 ㅠㅠ,5,1,
2750,황궁산동성,탕짜면/1(변경선택(곱배기로 변경)),1,"1회용 그릇에 달라고 했으나, 배달은 가게 그릇 왜 그래야 했는지 이유 설명안해줌.  곱빼기와 그냥의 차이가 무엇인지 모르겠으나 곱빼기 시켰는데도 양 작았음.  탕수육 뜯어지는 애들도 있음.",1,1,
