restaurant,menu,review,annotator,food,delvice,label
막걸리전당,"한돈육전/1,한통다 골뱅이 무침/1,술헤는밤[막걸리]/1,대강소백산[막걸리]/1","너무 화가 나서 리뷰 쓰기는 처음인데요. 그동안 막걸리 생각날 때는 무조건 여기에서 시켰어요. 안주 두개에 막걸리 두세병 기본으로요. 대강 소백산 막걸리를 제일 좋아해서 항상 시키는데 오늘은 마시자마자 이건 아니다 싶어서 유통기한을 봤는데 두병 다 유통기한이 2,4일 남았더라구요 매장으로 전화드렸는데 다시 보내주신다면서 며칠 전에 배도 막걸리 맛도 이상하다고 전화하지 않았냐네요  저 배도 막걸리가 뭔줄도 모르거든요? 이상한 사람 된 것 같아서 너무 기분 나쁩니다 그동안 자주 시켰는데 이젠 다시 못 시킬 것 같아 아쉽네요",상민,3,1,3
짬뽕선생,볶음짬뽕/1,볶음짬뽕 뿔다못해 터질지경으로 옴,상민,3,1,3
소풍엄지척닭강정-구로점,"반반 닭강정  大/1(반반치킨 맛 선택(후라이드,파닭))",대짜 인데..양이 생각보다 너무 작았습니다..,상민,1,3,1
베트남노상식당-강남점,"신메뉴）고기폭탄쌀국수/1(토핑 추가 선택(고기추가（40g）),추가 선택(면 추가,해선장 추가,숙주 추가))",추가를 그렇게 했는데 육수가..ㅋㅋ 짜글이 수준이네요 중국직도 짬뽕 곱배기시키면 국많이주는게 정싱이인데ㅋㅋ추가해도 육수없다써놓던가 대체 어떤 음식점가면 추가하면 육수를 따로 안넣주는지 알려주시겠어요? 찾아가보게요  평점진지하게 의심되네ㅋㅋ,상민,1,1,0
리얼안심&찹쌀탕수육-홍대점,"고추마늘 탕수육/1(사이즈선택(中),반／반 가능(깐풍 강정 탕수육),단무지(단무지 필요))","나름 만족스러웠지만, 튀김옷이 약간 두껍고 양념 맛이 강해서 조금 아쉬웠어요ㅠ",상민,3,3,4
위풍당당족발-본점,족발＋직화불족발＋쟁반국수/1(사이즈 선택(대)),다른건 다 괜찮았는데 진짜 무말랭이랑 김치는 도저히 못먹을정도였어요,상민,1,3,1
교촌치킨-문래점,교촌허니순살[R]/1,주 3회 섭취 합니다. 문래점이 특히나 더 맛있네요,상민,5,3,7
선릉냉면&칼국수,"물냉면/1(추가선택(왕만두2p,갈비만두4p))",물냉면 그리고 추가만두 맛있어요,상민,5,3,7
서두산딤섬만두-본점,"샤오룽빠오（Xiao long bao）8개/1,꿔바로우（Pot of meat）/1,우육면（Beef noodles）/1","사장님 안녕하세요? 제가 종종 직접방문해서도 식사하는 나름 단골이라 배달어플로 주문해보았는데요. 우육면은 물탄것 같이 국물이 너무 밍밍했고 맛이 없었습니다. 이게 같은 가게 맞나 싶을 정도로요. 면이 불어서 온것, 샤오룽바오가 상태가 안좋게 온거는 리뷰에서 이미 읽고 가만해서 주문한 만큼 컴플레인 하진 않겠습니다. 하지만 추가로 꿔바로우 소스담은 용기바닥이 깨져서 소스가 반이상 샌 상태로 왔는데 다음번엔 튼튼한 용기에 담아주시든, 배달직원에게 용기가 깨지지않게 조심하라고 하시든 신경 써주시면 좋겠습니다. 긴글 읽어주셔서 감사합니다",상민,1,1,0
짬뽕선생,"계란후라이 간짜장/1(곱빼기 추가(곱빼기 추가)),짬뽕밥/1",맛있게 잘먹었습니다,상민,5,3,7
원할머니국수보쌈-논현점,"보쌈도시락/1,비빔막국수/1",초음 주문했은데 포장도 깔끔하고 맛도 좋고 기대이성리었어요. 정성스럽게 준비된 식사 한끼 먹은 듯한 느낌에 기분이 좋았습니사. 감사합니다.,상민,5,5,8
3가지맛디디치킨-아현점,"1마리 내마음대로 3가지맛＋후루룩떡볶이세트/1(선택(순살),1마리내마음대로 선택1(후라이드),1마리내마음대로 선택2(파닭*),1마리내마음대로 선택3(양념*))",배달 예상시간 60분 .  80분 걸려 배달받았습니다.  치킨거의 식고 뒤섞이고 난리네요. 배달좀 신경써주세요.,상민,3,1,3
페리카나-왕십리점,순살후라이드반＋순살양념반/1(추가 선택(떡사리 추가)),저번보다 더 맛있어진거 같아요 원래도 맛있었지만 오늘따라 더 맛있고 떡사리 추가했는데 완전 많아요 바닥에도 깔려있음 양념은 역시 페리카나 양념이 최고에요!!,상민,5,3,7
호돌이떡볶이-서초점,"호돌이 떡볶이 혼밥세트/1(맵기 선택(매운맛（신라면정도）),추가 선택(참치마요주먹밥 추가))","언제 먹어도 너무 맛있는 호돌이 떡볶이,, 이렇게 배달 많이 시킨 식당 없는 거 같아요 ㅠㅠ 한 번 시켜 먹으면 웬만하면 또 잘 안 시키는데, 호돌이 떡볶이는 떡볶이 중에서도 꼭 호돌이 떡볶이가 생각나는 맛이에요~ 저 다이어트 중인데 ㅠㅠ 오늘 이 떡볶이랑 참치마요가 생각나서 먹었잖어요.. 그리고 너무 궁금한 게 튀김은 어떻게 튀기면 이렇게 오랫동안 바삭해요..? 말했듯이 다이어트 중이라 시키고 운동하고 씻고 먹느라 배달오고 바로 안 먹었는데도 튀김이 바삭해서 놀랐어요.. 순대도 완전 찰순대 ㅠ 그냥 너무 고맙습니다.",상민,5,3,7
교촌치킨-구로2호점,교촌허니콤보/1,허니콤보는 리뷰가 필요없이 맛 있습니다.,상민,5,3,7
야식전문-동경야시장,"후라이드 똥집/1,옛날통닭/1",생애 이런치킨은 처음이네요  오다가  반은 흘리고 오신건지  배달약속시간은 한참지나서오고 옛날치킨은 간장조림치킨이고 너무황당한 치킨집이예요     바삭한맛을기대하면 절대안되는 치킨이네요,상민,1,1,0
홍콩반점0410-방배역점,"고추짬뽕/1,짜장밥/1",고추짬뽕 시켰는데 일반 짬뽕이 오다니요..,상민,3,1,3
롯데리아-선릉점,"데리버거/1,불고기버거세트/1(디저트 변경(양념감자（오니언）),드링크 변경(세트 콜라（R）))",배달비 받고 30분 늦게 도착 세계최초 탄산없는 콜라 냉장고에서 꺼낸듯한 감튀 한약보다 쓴 양상추  하루빨리 망하기를 기원합니다,상민,1,1,0
한사바리해장국-왕십리점,선지 해장국/2(추가 선택(선지 추가)),선지자 너무딱딱해요 부드러운걸  선호합니다,상민,1,3,1
달빛오징어광어-석촌본점,"도다리세꼬시 ＋ 광어회/1,광어무침/1",항상 좋아요 굿굿입니다,상민,5,3,7
청년피자-광진구점,（인기）매드쉬림프 L （2~3인）/1(피자 도우 변경(기본)),"할인때매 주문이 많아서 그런가 대충 만든 느낌 씬피자도 아닌데 도우도 얇고, 치즈도 얇고 밀가루 맛 많이 나고.. 만드는 분이 바뀐건지 바빠서 그런건지 모르겠는데 종종 먹던 맛이 아니었네요.. 피자도우 너무 얇아요",상민,1,3,1
아메리칸팩토리-당산직영점,"페퍼로니 피자/1(사이즈 선택(18인치 XXXL 미국 사이즈)),수제피클 /1,갈릭디핑소스/2",살라미는 일반 소시지니까 뭐.. 근데 너무 바쁜 시간에 주문 넣었는지 추가 소스 안왔고 다시 받는데 50분 ㅠㅠ,상민,3,1,3
금강산족발보쌈,배추보쌈 小/1,"작은 콜라 하나랑 사진에 있는 셋트 입니다. 맛은 보통이고, 보쌈에서 약간 돼지 냄새 나요. 실수 인거 같은데 무말랭이만 두개를 주셨네요. 배추김치가 땡기는데 말이죠 .. 국수는 보통입니다. 만두는 그냥 만두애요. 양은 많습니다.",상민,3,3,4
페리카나-대림역점,세트1（후라이드＋후라이드）/1,너무 맛있어서 한 번 더 시킨 곳 만족스러워요 식후감,상민,5,3,7
청운24시,"차돌박이짬뽕/1,간짜장/3",항상 제일 맛있는 집 짬뽕인데 싱겁고 해물이 적었습니다,상민,1,3,1
바우네나주곰탕-까치산역점,모둠수육/1,수육에 부추무침이 같이 나온다고 표기해 놓으신거 때문에 주문했는데 안와서 전화해보니 원래요즘 안나온다고 부추무침 없이 먹을 생각이었음 모르겠는데 그게 먹고싶어서 시킨건데 좀 당황스러웠어요. 가격에 비해 양도 꽤 적고요. 추가로 육수주신건 감사합니다.,상민,1,3,1
용봉대반점,탕짬면/1,맛있게잘먹었어요~~,상민,5,3,7
동해회수산-본점,"도다리세꼬시/1(사이즈 선택(小)),석화/1(사이즈 선택(小))",세꼬시는 영혼이 없고 석화에선 냄사가 나서  버림 아~~,상준,1,3,1
꽃보다족발-본점,반반족발（족발＋불족발＋쟁반막국수＋콜라）/1(사이즈 선택(中)),맵찔이인 저에겐 불족발이 매웠지만 맛있게 잘 먹었습니다!! 양도 적당했어요,상준,5,3,7
KFC-광장동점,"베스트치킨버켓팩（오리지널치킨4＋핫크리스피치킨4＋그레이비소스＋스위트칠리소스＋케이준후라이（M）＋코울슬로＋콜라（L）2）/1,블랙라벨폴인치즈버거세트/1(사이드변경(케이준후라이),음료변경(콜라)),징거버거/1,트위스터/1",딱 케이에프씨 맛 입니다굿,상준,5,3,7
KFC-왕십리역사점,"핫크리스피치킨 1조각/1,오리지널치킨 1조각/1,롱치즈스틱/1,캔콜라（245ml）/1",다 식어서 왔구요.. 치즈스틱 맛 이상해서 한입 먹고 못먹었어요 ㅠ,상준,1,1,0
호세야오리바베큐-구의점,오리바베큐 1인/1,한끼식사잘먹었습니다,상준,5,3,7
굽네치킨&피자-신당역점,"고추바사삭,（한마리）/1,배달생맥주 1000ml¸¸/2","치킨은 맛이있었는데, 같이 시킨 생맥주에 탄산이 1도 없는 상태로왔네요. 생맥주 2천cc였는데 둘다 탄산이 하나도 없었어요 ㅠ",상준,3,3,4
미쳐버린파닭-고대점,순살파닭세트3（양념치킨＋간장치킨）/1,잘 먹었습니다~~^^,상준,5,3,7
롯데리아-성수역점,"치킨버거세트/1(디저트 변경(세트 포테이토),드링크 변경(세트 콜라（R）)),데리세트/1(디저트 변경(세트 포테이토),드링크 변경(세트 콜라（R）)),토네이도초코쿠키/1",예상도착보다 30분은 훨씬 늦게와서 나가야되는데 나가지도 못하고 기다렸네요.두명이서 먹어야 하는데 한명은 음식 먹지도 못하고 나가고 음식 받아서 혼자 먹었네요,상준,3,1,3
호치킨-구의역점,"내맘대로 2마리 （뼈）/1(치킨 선택 1(크리스피치킨),치킨 선택 2(양념치킨)),카스생맥주1000cc/1",옛날 생각하고 시켰는데 ㅠ 너무 맛이 읍네요  ㅠ 특히 양녕치킨은  양념 소스가 넘 부족했고  후라이드치킨은  넘 느끼해서  애덜이 먹다 마네요 ㅠ  ㅠㅠ 애덜이 먹기가 불편하다고 하네요 ㅠ,상준,1,3,1
더족발-당산점,앞다리 족발/1,야채 상태도 안좋고.. 맛없음,상준,1,3,1
초밥명가,오늘의 초밥（10psc）＋리뷰서비스2p/1,가성비가 좋은것 같습니다 배달도 예상시간보다 빨리 왔어요 감사합니다,상준,5,5,8
이공족발&비빔국수-강남점,"세트（매콤달달 비빔국수＋쫄깃족발의 환상 조합）/1(추가 선택(공기밥 추가,옛날 떡볶이 추가))",공기밥 추가했는데 안왔네요,상준,3,1,3
호돌이떡볶이-서초점,"호돌이떡볶이 오리지널/1(맵기 선택(보통맛（안성탕면정도）),추가 선택(날치알주먹밥 추가))",맵기정도도 적당하고 맛있게 잘먹었습니다,상준,5,3,7
매우곱닭-구로점,"야채곱창/1(맛 선택(매운맛 2단계),추가 선택(당면사리 추가))",진짜 맛없음~ 매콤하지도 않고  곱창도 질기고 엄청 느끼해요,상준,1,3,1
셰프의돈까스,"수제돈까스（2장）/1,생선까스/1",그냥저냥ㅠ 생선까스는 기름지고 ㅠ  좀더 비싸도 명태살이였으면 좋겠어요ㅠㅠ,상준,1,3,1
킹케밥-역삼점,"치킨케밥（Chicken Kebab）/2(세트로 변경 추가 선택(감자튀김＋아이스티 Ice Tea)),라바스（Lavash）/1,치즈스틱（Cheese Stick）/1",선생님.. 아이스티 세트로 2개를 주문했는데 1개가와서 매장쪽에 전화를했는데 안받아서 연락처 남겨놨는데 연락이 안오더라구여.. 다른 리뷰대로 배달이 굉장히 느렸습니다,상준,3,1,3
원할머니보쌈-종로5가점,"모둠보쌈/1(모둠보쌈 사이즈선택(중 （생육710g이상,수육500g）))",배달이 빨리 와서 좋았고 맛있게 잘 먹었습니다!!,상준,5,5,8
노랑통닭-신도림점,엄청큰후라이드치킨/1(뼈 or 순살 선택(뼈)),엄청 맛있다 이정돈 아녀도 가볍에 생각날때 먹기좋아요 양은 정말 많네요 배달도 80분이래서 놀랐는데 60분정도 걸렸어요,상준,5,5,8
고기왕창자이언트비빔밥-왕십리점,"육회비빔밥＋얼큰 된장국/2,숯불고기 비빔밥＋얼큰 된장국/2(맛 선택(간장))",맛은 크게 나쁘지않고 먹을만 해요~,상준,3,3,4
봉명성,"간짜장（곱빼기）/1,탕수육 小/1",자장면 먹고플땐 봉명성에서 시켜요 임신중이라 코가 많이 예민해졌는데 탕수육에 고기누린내가 안나서 맛있게먹었어요 짬뽕 먹고싶었는데 먹으면 배가아파서.. 국물만 요청했는데 챙겨주셔서 감사합니다. 다음에 또 주문할게요^^,상준,5,5,8
굽네치킨&피자-광장점,"굽네 갈비천왕 순살/1(세트 선택(볼케이노 피자（3,000원 할인가）))",약속시간보다 30분이나 늦게옴.. 배달예정시간 50분안에 온다고 요기요톡왔는데 자기네들은 주문이 밀려서 70분찍었다고해서 기막혔는데.. 여튼 자기네들이 말한 그 70분도 더 넘어서 배달됐음.. 담부턴 미리 늦으면 전화라도 하시던지요..,상준,3,1,3
월남선생-합정역점,월남쌈（best）/1(고기 선택(소불고기 2人)),월남쌈 주문해서 먹었는데 양이 너무 작아요.. 야채도 10종류 밖에 안되고.. 버섯 종류도 추가해 주셨음 좋겠어요. 그리고 무엇보다 비싸다는 생각입니다. 월남쌈 좋아하는데 많이 아쉬워요.. 맛은 괜찮습니다!,상준,3,3,4
배스킨라빈스-당산역점,"쿼터/1(제품 밀봉 배달 전용 패키지(선택 안함),다회용 보냉백(선택안함),스푼 선택(스푼 3개),아이스크림 선택（쿼터）(슈팅스타,워싱턴블루베리쥬빌레,피나콜라다,북극곰 폴라베어),대체맛 선택（쿼터）(（대체）애플 민트,（대체）워싱턴블루베리쥬빌레))",녹아서왔어요 드라이아이스도 거의 없다시피 하네요,상준,1,1,0
멕시카나-봉천점,순살까르보불닭치킨/1,살짝 매운데 맛있네요 ㅎㅎ  밥하고 먹기에도 딱 좋음!,상준,5,3,7
금강산족발보쌈,김치보쌈 小/1(콜라 사이즈 변경(콜라 1.25L로 변경)),음.. 저번에 먹었을 때랑 좀 다르네요. 고기도 잡내가 심하게 나는거 같고 비계 비율이 저번이랑 너무 비교되게 많고 두 번째 시켜먹은거였는데.. 좀 실망스럽네요 ㅠ,상준,1,3,1
보램양,해물탕海鲜汤/1,국물 맛은 시원 합니다 얼큰 개운 칼칼은 아니고 딱 시원 해서 좋습니다. 근데 해물양이 딱 저거에요.. 그리고 해물탕에 수저는 안주시나요? 나무젓가락 딱 두개 왔네요 맛은 괜찮습니다 양 질 맛 가격  네가지를 놓고 볼땐 그냥 5000~10000 짜리 짬뽕 시켜 먹는게 더 가성비에 맞을 듯 해요 사장님 좀 연구 해보셔야 할 메뉴 일듯 합니다,상준,3,1,3
돈까스본능by놀부-난곡직영점,김치치즈돈까스/1,감사합니당 저번에 못받은 콜라 챙겨주시고 정말 맛있게 먹었습니다~,상준,5,5,8
두마리찜닭두찜-양천신정점,"[찜닭의정석] 한마리찜닭（까만／빨간）/1(튀김콤보세트(선택 없음),메뉴 선택(뼈),매운맛 단계(1단계（아주순한맛）),맛 선택(까만찜닭),당면 선택(둥근당면))",매운거 못먹는데 순한맛 딱 좋았고 참기름김가루 센스 좋아요. 한가지 아쉬운 점은 닭에 간이 안베어서 양념이 겉돈다고 할까 퍽퍽한 느낌이랄까 ㅠㅠ 그래서 좀 먹더가 닭살찢어서 밥이랑 비벼먹으니 괜찮아서 그렇게 클리어했어요.,상준,3,3,4
진심을담아내다고기장인-동대문점,"장인의 실속보따리/1(메뉴 선택(장인숙성 삼겹 （500g）),사이드 선택(싱싱달콤육회 한접시),찰진 흑미밥 선택(찰진 흑미밥 선택안함))",구성이 너무 마음에 들어요 양도 많고 맛있습니다,상준,5,3,7
소담애-방배점,"족매반반（앞발）/1(사이즈 선택(中)),쟁반국수/1",배달이 좀 걸리긴햇지만 너무 잘먹엇어요!!ㅎㅎ,상준,5,1,6
서초참치명가,특 참치회/1,"7시 31분에 주문해서 9시 5분에 받았습니다. 참치는 밖에 얼마나 오래 있다가 온건지 다 흐물거려서 맛도 없고, 배달 기사는 옆집으로 갔다가 늦게 오고.. 요기요 이용 역사상 최악의 날이었어요. 배가 너무 고파서 화날 지경이 되서 전화하자 매장에선 기사탓 하더라고요. 평점 낮아도 배달전문이 아니라서 더 나을 줄 알고 시켰는데 잘못 생각했습니다. 평점 낮은데는 다 이유가 있나봐요.",상준,1,1,0
싸움의고수-상왕십리점,1인 보쌈L/1(추가 곁들임 메뉴(캔 사이다（355ML）)),너무 맛있습니다 역시..,상준,5,3,7
25시서울야식-왕십리점,꽁치조림 中/1,배달  2시간이 지나도 이직도 안오고 있다..,상준,3,1,3
신미불닭발-서울본점,"국물닭발 Set （2인분）/1(국물닭발 선택(국물닭발（무뼈）),맛선택(덜 매운맛),사이드 선택(날치알주먹밥＋쿨피스),토핑추가 선택(숙주 추가)),계란찜/1,쿨피스930mL/1",맛있게먹었습니다 ㅎ,상준,5,3,7
맥도날드-신도림테크노마트점,"에그 불고기 버거 세트/1(사이드 선택（M）(후렌치 후라이 미디엄),음료 선택（M）(환타Ⓡ 미디엄)),맥너겟Ⓡ 10조각/1(소스 （맥너겟／치킨텐더／맥윙）(스위트앤사워 소스),소스 （맥너겟／치킨텐더／맥윙）(스위트앤사워 소스)),단품 상하이 치킨 스낵랩Ⓡ/1",소스하나도 안주셨어요.. 기본적인 케챱까지요..,상준,3,1,3
60계치킨-서울신도림점,고추치킨/1,60계 좋아하는데 신도림점은 소스가 고루 안묻혀져서 항상 맛이 반감되네요 ㅠ 고추소스도 바닥에만 다 있고 한면은 묻고 한면은 안묻어있고 이래서 맛이 ㅠ 치킨한점 먹고 바닥에 있는 고추집어먹고 이렇게 먹었네요. 오리지날도 그러더니 혹시나해서 이번엔 고추치킨 시켜봤는데도 그러네요 ㅠ 그냥 배달비 더 주더라도 이제 다른 지점으로 주문하려구요,상준,1,1,0
취홍,셋트1（탕수육＋짜장＋짬뽕）/1(곱빼기 추가 선택(짜장 곱빼기 추가)),셋트메뉴라 그런지 탕수육은  작은고기에 튀김옷만 크고 짜장면 곱배기 시켰는데 보통이랑 별차이도 없고 짬뽕은 덜 조리된것 같이 국물이 겉도는 맛이랄까 바쁘셔서 그런건지 하여튼 좀 실망스럽습니다!!,상준,1,3,1
만복국수찌개&보쌈,"만복정식 1人/1(메뉴 선택(꼬막비빔밥),추가 선택(공기밥 추가)),제육볶음 1人/1(추가 선택(공기밥 추가)),A set（보쌈中 ＋ 국수외 택1）/1(메뉴 선택(김치말이（냉）쌀국수 곱빼기（공기밥불포함）),추가 선택(공기밥 추가))",메뉴하나가 누락되서 아쉬웟지만 맛잇엇습니다,상준,5,1,6
유자유김치떡볶이-신촌점,김치떡볶이/1(맛 선택(기본)),배달 자기들 멋대로 완료하고 1시간 30분넘게 기다리는데 누가 사먹을까요,상준,3,1,3
담음마음을담은죽-서대문점,"내맘대로 2개골라 담은죽 1kg（500g＋500g）/1(메뉴 선택(담백한 야채죽,소고기미역죽))",간을 안하시나봐요..너무 밍밍해서 못먹겠어요,상준,1,3,1
리얼안심&찹쌀탕수육-영등포점,"반반탕수육/1(사이즈 선택(小（캔음료 제공）),두가지 맛 선택(오리지날탕수육,사천탕수육))",맛있게 먹던 도중에 테이프인지 비닐인지 하는게 튀김옷이랑 같이 있네요..,상준,0,0,9
장수곱창,"소곱창볶음/1(사이즈 선택(小)),포테이토/1,김말이튀김/1,후라이（2개）/1",조아요 ㅎㅎㅅㅎㅅㅅ,상준,5,3,7
놀부부대찌개-잠실푸르지오점,알찬 놀부부대찌개 （완조리）/1(완조리사리(햄사리)),평소보다 국물이 매우 적고 짭니다. 국물이 많이 쫀 것 같습니다. 우동면 원래 주던 건 왜 없나요? 배달이 문자 달라고 했는데 아무 말 없이 문앞에 놓고 갔습니다. 오늘 여러모로 꽝이네요. 전화번호도 안 보이고요.,상준,1,1,0
명가안동찜닭-역삼점,"안동찜닭/1(사이즈 선택(小),뼈or순살 선택(순살))",처음 시켰을땐 맛있었는데  두번째시킨 오늘  고기에서 냄새가나네요 ㅡ 한두개만 그런줄 알았는데   ㅡ다 그래요  순살찜닭이 왔는데  오늘은 실망 입니다,상준,1,3,1
마라하오-서초점,"대한민국 No.1 마라탕/1(맵기 선택(매운맛),사이드메뉴 추가선택(멘보샤 4pcs))",생각보다 안 매워요 국수가 1도 없어서 식사요기로 시킬땐 옥수수 면 추가해야 할듯,상준,1,3,1
신참떡볶이-방배점,"치즈떡볶이/1(맛 선택(달참)),오뎅（5개）/1,치즈스틱（3개）/2,새우튀김（3개）/2,돈까스마요컵밥/1",혹시 6월부터 주인분이 바뀌셨나요? 일주일에 한번씩 사먹을정도로 좋아했던 곳인데 6월부터 배달상태가 엉망입니다 첫번째 사진이 6월 20일에 시킨 사진입니다 오뎅국물도 다 흐르고 튀김종이도 다 찢어져왔어요 그리고 두번째 사진은 어제 6월 30일날 시킨거구요 또 엉망으로 왔네요 저번은 실수라고 생각해서 리뷰도 안쓰고 넘어갔는데 똑같은 포장상태라 이번에 다 올려요 개선을 해주셔야 할 것 같아요 그리고 저 갈생덩어리는 놀랍게도 새우튀김입니다 한 입 먹고 너무 타서 먹을수가 없어 전부 버렸어요.. 늘 잘시켜먹던 곳인데 속상하네요,상준,1,1,0
오징어선수촌,광어회小/1,좋아요~^^빠르고요~^^,상준,5,5,8
은하수식당,고구마매콤이돈가스/1,머리카락이나왔습니다,상준,0,0,9
하희씨부엌,1~2인 세트족발（小＋막국수 2인분）/1,맛잇게 잘먹엇습니다~~,상준,5,3,7
리빠똥과일치킨-왕십리점,후라이드치킨/1,맛이없어요..닭도작고,상준,1,3,1
컴포즈커피-봉천중앙점,"흑당시리즈（ALL VENTI SIZE）/1(메뉴 선택(ICE 흑당밀크라떼),추가 선택(펄 추가)),（BEST）생크림와플（JUMBO SIZE）/1(와플 선택(카라멜시나몬와플)),BIG카롱 마카롱（단품）/1(맛 선택(쇼콜라))",배달요청도 잘 들어주시고 메뉴도 넘 맛있어용D,상준,5,5,8
직화방-바싹불고기&직화갈비&삼겹-송파점,"연기사우나 직화고기만/1(고기 선택1(오픈기념 간장 바싹불고기 특별 무료변경),고객감사 앵콜 990이벤트(매콤달달 국물떡볶이))",처음 시켜봤는데 괜찮네요! 잘 먹었습니다,상준,5,3,7
피자파는집-공덕점,"내맘대로 반반L/1(피자선택L(베이컨포테이토L,달콤딥고구마L),피자도우선택(오리지널 도우（기본적인）)),마약옥수수/1","다른지점 ,다른브랜드랑 마약옥수수랑 너무 달라요 많이 바쁘신건가.. 물이렇게흥건하게해서 고소한맛이아니라 느끼하고 축축했어요 실망스럽습니다 이런건줄알았으면 통조림캔을사먹었을거에요",상준,1,3,1
누들박스-잠실푸르지오점,나시고랭/1(옵션 선택(곱배기)),양이나맛보다 최소주문금액을 너무속보이게해놨어요 콜라300미리짜리가 2500원ㅋㅋ 저거해서 맞추라는건데  좀그럼..,상준,3,1,3
치킨뱅이-방이점,"치킨뱅이/1(사리 선택 필수(쫄면),추가 선택(양념치킨,쫄면사리))",골뱅이 무침은 100점!! 넘  맛있어요. 살짝 매운편이라.더 좋아요. 양념치킨은 양념이 제취향이 아니였어요. ㅠㅠ,상준,3,3,4
고기왕창자이언트비빔밥-왕십리점,"우삼겹 곱빼기 비빔밥＋계란말이or떡갈비 中 택1＋얼큰된장국/1(메뉴 선택(계란말이)),맛보기 육회/1",배달.. 익스프레스.. 1시간10분째입니다.. 배달비도 비싼데 타임딜 못할거같으면 하지마시길..요기요가문제인듯.. 아직 음식구경도 못했습니다,상준,3,1,3
족발야시장-답십리점,"직화불족발 大/1(추가선택(1인 막국수),음료 추가(변경 안함))",너무 맛있어요ㅠㅠ 먹기 딱 좋은 살코기랑 뼈 분리 되서 오구 막국수도 맛있구  불족발이 조금 매운데 같이 주신 장아찌랑 백김치랑 먹으면 매운게 달래져요  조만간 또 주문할게요 ㅠㅠ,상준,5,3,7
샤오바오우육면-봉천점,"우육면/1(맛 선택(매콤)),꿔바라우/1(사이즈 선택(중))","처음에 사진을 깜빡해서 다 먹은 인증사진만ㅠㅡㅠ 배달 빠르고 친절했고, 우육면은 국물과 면이 따로 와서 면이 불지않아 좋았어요. 조금 아쉬운건 국물과 반찬이 둘다 짠편이고 꿔바로우는 부먹으로 와서, 전 찍먹이라ㅠ  부먹이어도 쫄깃함과 바삭함이 살아있어서 괜찮았지만 그래도 찍먹파를 위해 소스는 따로 왔으면 좋겠어요^~서비스 물만두는 감사하지만 뭉쳐있었는데ㅜ 국물에 넣어먹으니 괜찮~마지막으로 꿔바로우는 혼먹으로 추천할만해요. 양도 맛도^^~",상준,3,5,5
쫄면주는삼겹본능by놀부-신정네거리점,구이삼겹 2인¸/1(곁들임추가(떡 추가)),맛있어요~!!,상준,5,3,7
곰달래도깨비족발-강서양천점,"1人 한끼 보쌈셋트（ 보쌈＋막국수＋백김치＋무김치＋공기밥＋쌈장＋새우젓）/1,반반（앞족）（따끈왕족발＋숯불족발）/1(사이즈 선택(중)),주먹밥/2",항상시켜묵는데여..맛그대로 맛이엇어서요..,상준,5,3,7
치킨매니아-낙성대점,"후라이드닭발반＋진미양념닭발반＋핫마요소스/1,닭껍데기튀김/1",처음 먹어보는데 독특하네요 양은 상당히 적고요~,상준,1,3,1
파리바게뜨-명동백병원점,"든든한통소시지빵/1,한입에 두번 반한 단팥크림빵/1,아다지오 모카빵/1,상미종 생식빵（슬라이스）/1",회사 근처라 두번이나 시켰는데.. 첫 주문에는 주문한 빵이 품절이라 취소하고 다시 시키고.. 이번에 시킨건 후레쉬크림빵에 크림이 윗부분에만 정말 조금 묻어있네요 ㅠㅠ 다음부터는 다른 지점에서 시켜야할거 같아요..,상준,1,1,0
롯데리아-신림역점,"T-REX버거 세트/1(디저트 변경(선택 지파이 고소한맛（S）),드링크 변경(세트 콜라（R）)),데리세트/1(디저트 변경(선택 지파이 고소한맛（S）),드링크 변경(세트 콜라（R）)),데리세트/1(디저트 변경(선택 치즈스틱),드링크 변경(세트 콜라（R）))",항상 잘먹고 있어요 ㅎㅎ 잘 먹겠습니다,상준,5,3,7
백종원의한신포차-송파방이점,한신닭발/1(식사(셀프주먹밥)),양도 괜찮고 맛있습니다 국물닭은 역시 한신포차입니다,상준,5,3,7
봉구스밥버거-까치산점,"햄치즈밥버거/1,점보치킨마요컵밥/1,소떡소떡  /1,봉구스 떡볶이/1",맛있게 잘 먹었어요~^^ 떡볶이도 먹고싶어 시켰는데 기본에 충실해 맛있어요~ 밥버거는 당욘 맛있구요ㅎ 배달 빨라서 좋아요 잘 먹었습니다^^,상준,5,5,8
노랑통닭-방배점,간바치/1,배달기사님 친절빼고는 최악 소스 아끼셔서 이게 뭔맛인지 에어프라이어에 튀겨서 간장 좀 묻힌 맛 소스양이 그냥 바른듯 만듯 타사치킨들에 비해서 양 엄청 적고  물티슈 달랬더니 딸랑 한장 너무 아끼시네 다시는 안 시킵니다 튀김옷 없이 맨닭에 그냥 간장바른 맛 왜 20000원인지 모르겠어요 시장치킨도 이러진 않을 듯 ㅠㅠ 그리고 먹는 내내 닭털이 눈에 계속 띄어서..아.. 장난아니예요 먹다가 치킨맛떨어져서 다 버립니다 ㅡㅡ 닭털이라도 좀 제거 제대로 휴,상준,1,3,1
BHC-홍대점,핫후라이드/1,그럭저럭 먹었습니다,상준,3,3,4
